Page,Engine,Extracted_Text,Correct_Text,Accuracy_Score,Comments,Issues_Found,Confidence_Score

# INSTRUCTIONS:
# 1. Review the Extracted_Text column
# 2. Enter the correct text in Correct_Text column
# 3. Rate accuracy from 1-10 in Accuracy_Score column
# 4. Add comments about errors in Comments column
# 5. List specific issues in Issues_Found column

1,tesseract,"య. . లడంగలు / పహాణి సంవత్పరము న్‌ | న సాగుబడి వివరములు 190 మండలము : ప | న. వ్యచసాయ గణాంకములు - సాగు వివరములు శ | ( భూము వినియోగము ' | ౨౨ 24 గడిలోని విస్తీర్ణములో శ | వ. విస్తీర్ణము నీటి పారుదల అయిన విల లి | న్‌, సాగుకావి భూమి చె ॥ వర్ణ పారుదల ల్‌ సర్గ వ 5 న్‌ గ్రాము పరిదాలనాధికారి డల రెవెనూ; అధికారి ర | (వినియోగము భ్‌ గ ణి చ సిల్లేఖ్ల.. తనిభి లేది మరియు మండల రెవనూ[ అధికారి ఫ్‌ | గా రన తలా ళ్‌ చ్ల శనిః వ. . లైలా , లే గ$ 0 రిచూర్కులు/ రెవెనూ; ఇతర అధికారు గ్‌"" | - న్‌ గె ణి గ్గే ణే బ్లీ శ్ది గిప 0 చె నే గ శ తనిఖీ ... [TRUNCATED]",[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.457
2,tesseract,"నయ బ్రాపిక్స్‌, 19-9-94 - 5 లక్షలు _ + / ం - | గ్రామ లెక నెం. భవము | ఫ్‌ క్క ౨3 అడంగల్‌ / పహాణి పొలము వారి అను | సర్వే మరియు సెటిల్‌మెంట్‌ బందోబస్తు ణా లావ నన్‌ | గె చు గ్గ చి - ర 1 వ! చి ౨ గ్ర. | చి చేగళ్ళి న శి ణి ఖే నా... న. గ్‌ స | గ్‌ చెసా శి న ర్‌ (2 చీ హి సభ శ ౦ శో బగా 1 ""ర్ల "" | ౮ షు శ] ఛై పి చె *౭₹ 0 వా (2 2౮ స్రీ ణి జె భాతాదారు / చ క్‌ | . వ్ర క్లాప చెలి న వష 2 చే గో ఫై 4ళ్లనై (ట్రే (షనాబ| శ్తికాళ ణి త్త లఅనుభవదారు పేరు 2 9 ఛై | ఇ (ఇ ౫ సళ చచ్చి 4] త్రీ 4 శచిశ్త 17౭? తళ ౧ పటాదారు పేరు స ల . | ళ్‌ 40! యి గ ... [TRUNCATED]",[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.446
3,tesseract,"శ్‌ క్‌ న న. వ తడులు ॥ న. | న. ॥ అ -. టి క్‌ నలా సారు: ఛారాశటనో నా స శ 1 | తం వ | గ్రామ లక నెం.3 అదంగల్‌ / పషః పొలము వారి అనుభవము | నూ [వ పేల చోజన్న య పాకం్పచి రికార్తు | ? గ జాక్‌ సంప రాయి దాపున ఎనన. | . వ. చస్మిష్టైటుు త లు స | || కం ర న. న గ్గ వారాంతపు చ వవతయాలాలా తరాలు లన డడ | | [| ఏ! టా ॥ న్‌! ॥ రష న న 1 బ్ధ 2 | న. జీ శశి గే 1 త్తే ల్ల | లం లి. శ శే 4 ఫైన ఇ సేల్‌ చా ం క్తి ప్‌చే ల్లి స | న్‌ క 7 జ. ఫు ॥ న! ఖ్‌ / ల్శ ఇక న గ. చి లి శీ లా ల్‌ శే | కచ , శి న . 1 షే లా త ధో ఈ , ళీ ళీ శశ ఏ9 04 | ల తి ట్‌ బి జూ 1 ఇచి ఫీ ... [TRUNCATED]",[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.374
4,tesseract,ఉ లౌవిక్స్‌. 19-9-94. 5 అకలు . ఒ | గ్రామ లెక్కనెం.3 వారి అనుభవము | అ ఓ / | తా లు అడంగల్‌ / పహాణి . లాలా | సర్వే మరియు సెటిల్‌మెంట్‌ బందోబస్తు జాలా లాలా = హక్కుల రికార్డు టా | గ | న. విస్తీర్ణవ గ [. న్‌ గె... | తెల నె మ 0 2 ళు ళీ | ఈ 'శిగిగ గ్ర చ్లిళ్సి గం రిం 7? లగే స్ట | షె హ్‌ ఇ ణె 5 త చ భా. 1 త్త | స సెచిలి గు లే ల స మై ల న ణా జ ళం షః జత | నో శ్శ్య శీలి ఈ 42నే చ్సి మా గం లై ఇతె ఓ గత సె ఖాలౌదారు / వా భళి ర6 ఎ శం. | ల జై] ఇళ 5 చె 209 లి క స చ ర్తి జ అనుభవదారు పేరు శే 2 7?) 1 | ఇ (ఇశఉపీశ్తి శి | చ ౩ పశ న్ని పతి 6263 ఫ్ర ... [TRUNCATED],[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.408
5,tesseract,"ఫం రంల పవ లకి లల. క ; | =. ౦గల / పహా | | వళ యము _. పం. అ క్‌ వ లారా | | ఆనన మరియు సటిలిమెంట్‌ బంరోబన్న న హక్కుల 05ర్చు | శ చచ ై ] ఖ | నా గ్‌ ఉం ఛా ॥ క శా ( ళీ | క ఎ ద |. | త 1 గ్గ నె గో శ | 7 గే వ్‌ | క్‌ స న ష్‌ య క స న స స స య నే లా చె ॥/ గప ల్లో ణి | షె 'షాటేళచ్టి్స | షి | శస గనె సప 1 ౧ శశి జిల్ల ] భారాదారు నుభవడారు ఘేరు కర్త 11 ఇ] | ఇథి గ ప 2 శ 4 2 ఇ 12” సే స స్‌ “రు ఠఅనుభ= ఆన్‌ | , ష్‌. వ | జ! శా ళ్‌] గ్‌ ళ్ళ ౮ య్‌ ళా ౧౧ ణీ 4 నో పటాడారు ఎ రి ట్టి 0 | 2 తి: ఛ్‌ సీ ప చే న్న | చ్ది ౪8 లి గీ గ్‌ 2౧ లి టి ల | ళ్రి సో 7... [TRUNCATED]",[ENTER_CORRECT_TEXT],[1-10],[ENTER_COMMENTS],[LIST_ISSUES],0.402
