lp_no,square_id,center_lat,center_lon,north,south,east,west,corner_nw,corner_ne,corner_se,corner_sw,ndvi_mean,ndvi_std,ndbi_mean,ndbi_std,ndwi_mean,ndwi_std,evi_mean,savi_mean,temporal_consistency,quality_score,ndvi_significant,ndbi_significant,ndwi_significant,any_significant
2,1,14.380869910212054,79.52184086344317,14.38115618265904,14.380583637765067,79.52213639758239,79.52154532930398,"(14.381156, 79.521545)","(14.381156, 79.522136)","(14.380584, 79.522136)","(14.380584, 79.521545)",0.3676,0.0214,0.1398,0.0981,0.0267,0.1234,0,0,1.0,0.886,No,Yes,Yes,Yes
2,2,14.380869910212054,79.5224319317216,14.38115618265904,14.380583637765067,79.5227274658608,79.52213639758239,"(14.381156, 79.522136)","(14.381156, 79.522727)","(14.380584, 79.522727)","(14.380584, 79.522136)",0.539,0.1416,0.0472,0.0002,-0.2455,0.0897,0,0,1.0,0.839,Yes,Yes,No,Yes
2,3,14.380869910212054,79.523023,14.38115618265904,14.380583637765067,79.5233185341392,79.52272746586078,"(14.381156, 79.522727)","(14.381156, 79.523319)","(14.380584, 79.523319)","(14.380584, 79.522727)",0.3631,0.0012,-0.1507,0.1277,-0.0292,0.0274,0,0,1.0,0.877,No,No,No,No
2,4,14.380869910212054,79.52361406827839,14.38115618265904,14.380583637765067,79.5239096024176,79.5233185341392,"(14.381156, 79.523319)","(14.381156, 79.523910)","(14.380584, 79.523910)","(14.380584, 79.523319)",0.4538,0.0273,-0.0018,0.0063,-0.0173,0.04,0,0,1.0,0.863,Yes,No,No,Yes
2,5,14.380869910212054,79.52420513655682,14.38115618265904,14.380583637765067,79.52450067069601,79.5239096024176,"(14.381156, 79.523910)","(14.381156, 79.524501)","(14.380584, 79.524501)","(14.380584, 79.523910)",0.282,0.204,-0.1174,0.1205,-0.2459,0.0441,0,0,1.0,0.804,No,No,No,No
2,6,14.381442455106027,79.52184086344317,14.381728727553014,14.38115618265904,79.52213639758239,79.52154532930398,"(14.381729, 79.521545)","(14.381729, 79.522136)","(14.381156, 79.522136)","(14.381156, 79.521545)",0.587,0.0562,0.0442,0.0586,-0.021,0.1269,0,0,1.0,0.8,Yes,Yes,No,Yes
2,7,14.381442455106027,79.5224319317216,14.381728727553014,14.38115618265904,79.5227274658608,79.52213639758239,"(14.381729, 79.522136)","(14.381729, 79.522727)","(14.381156, 79.522727)","(14.381156, 79.522136)",0.3494,0.0109,-0.1082,0.2055,-0.0398,0.0566,0,0,1.0,0.716,No,No,No,No
2,8,14.381442455106027,79.523023,14.381728727553014,14.38115618265904,79.5233185341392,79.52272746586078,"(14.381729, 79.522727)","(14.381729, 79.523319)","(14.381156, 79.523319)","(14.381156, 79.522727)",0.2886,0.0315,-0.1152,0.0455,-0.0721,0.2436,0,0,1.0,0.947,No,No,No,No
2,9,14.381442455106027,79.52361406827839,14.381728727553014,14.38115618265904,79.5239096024176,79.5233185341392,"(14.381729, 79.523319)","(14.381729, 79.523910)","(14.381156, 79.523910)","(14.381156, 79.523319)",0.3566,0.0975,-0.1042,0.0104,0.02,0.1113,0,0,1.0,0.807,No,No,Yes,Yes
2,10,14.381442455106027,79.52420513655682,14.381728727553014,14.38115618265904,79.52450067069601,79.5239096024176,"(14.381729, 79.523910)","(14.381729, 79.524501)","(14.381156, 79.524501)","(14.381156, 79.523910)",0.408,0.08,-0.0521,0.0043,-0.2681,0.0201,0,0,1.0,0.758,Yes,No,No,Yes
2,11,14.382015,79.52184086344317,14.382301272446988,14.381728727553014,79.52213639758239,79.52154532930398,"(14.382301, 79.521545)","(14.382301, 79.522136)","(14.381729, 79.522136)","(14.381729, 79.521545)",0.3923,0.0138,-0.0808,0.0084,-0.1617,0.0133,0,0,1.0,0.882,No,No,No,No
2,12,14.382015,79.5224319317216,14.382301272446988,14.381728727553014,79.5227274658608,79.52213639758239,"(14.382301, 79.522136)","(14.382301, 79.522727)","(14.381729, 79.522727)","(14.381729, 79.522136)",0.2801,0.0,-0.1251,0.0193,-0.1848,0.1203,0,0,1.0,0.801,No,No,No,No
2,13,14.382015,79.523023,14.382301272446988,14.381728727553014,79.5233185341392,79.52272746586078,"(14.382301, 79.522727)","(14.382301, 79.523319)","(14.381729, 79.523319)","(14.381729, 79.522727)",0.2448,0.0319,-0.0349,0.0155,-0.1457,0.1074,0,0,1.0,0.867,No,No,No,No
2,14,14.382015,79.52361406827839,14.382301272446988,14.381728727553014,79.5239096024176,79.5233185341392,"(14.382301, 79.523319)","(14.382301, 79.523910)","(14.381729, 79.523910)","(14.381729, 79.523319)",0.4624,0.0305,-0.0309,0.1709,-0.0004,0.1097,0,0,1.0,0.866,Yes,No,No,Yes
